numero,volteado,frecuencia,ultima_aparicion,loteria
03,30,20,2025-06-30,Loteria Nacional
45,54,20,2025-06-30,New York 2:30
13,31,20,2025-06-30,Anguila 03:00 PM
47,74,18,2025-06-30,Quiniela Real
27,72,16,2025-06-30,Anguila 9:00 PM
28,82,15,2025-06-30,La Primera Tarde
02,20,14,2025-06-30,Quiniela Loteka
56,65,14,2025-06-30,Quiniela LoteDom
36,63,14,2025-06-30,La Primera Tarde
08,80,13,2025-06-30,Quiniela LoteDom
15,51,13,2025-06-30,La Primera Noche
89,98,13,2025-06-30,Florida Dia
04,40,13,2025-06-30,King Lottery AM
69,96,13,2025-06-30,Anguila 1:00 PM
16,61,12,2025-06-30,Gana Mas
48,84,12,2025-06-30,Quiniela LoteDom
17,71,12,2025-06-30,New York 10:30
14,41,12,2025-06-30,Pega 3 Mas
59,95,12,2025-06-30,La Suerte 6PM
57,75,11,2025-06-30,Quiniela Leidsa
79,97,11,2025-06-30,Quiniela Real
67,76,11,2025-06-30,Anguila 10:00 AM
78,87,11,2025-06-30,Anguila 6:00 PM
88,88,11,2024-06-30,Quiniela Leidsa
24,42,11,2024-06-30,Quiniela Loteka
19,91,11,2024-06-30,King Lottery PM
01,10,10,2025-06-30,Quiniela Leidsa
29,92,10,2025-06-30,La Primera Noche
12,21,10,2025-06-30,Florida Noche
46,64,10,2025-06-30,Anguila 09:00 AM
18,81,10,2025-06-30,Anguila 04:00 PM
68,86,10,2025-06-30,Anguila 05:00 PM
25,52,10,2024-06-30,Anguila 04:00 PM
37,73,9,2025-06-30,Loteria Nacional
23,32,9,2025-06-30,Gana Mas
38,83,9,2025-06-30,La Suerte 6PM
07,70,8,2025-06-30,Quiniela Real
49,94,8,2025-06-30,La Suerte MD
05,50,8,2025-06-30,La Suerte 6PM
26,62,8,2025-06-30,Anguila 12:00 PM
09,90,8,2025-06-30,Anguila 04:00 PM
55,55,8,2025-06-30,Anguila 07:00 PM
58,85,7,2025-06-30,Anguila 6:00 PM
06,60,7,2025-06-30,Anguila 12:00 PM
77,77,7,2021-06-30,Quiniela Real
44,44,6,2024-06-30,Florida Noche
35,53,6,2024-06-30,Anguila 10:00 AM
00,00,6,2023-06-30,Anguila 9:00 PM
34,43,5,2025-06-30,Loteria Nacional
11,11,5,2025-06-30,Quiniela Leidsa
33,33,5,2025-06-30,Anguila 07:00 PM
39,93,5,2025-06-30,Anguila 08:00 PM
66,66,5,2024-06-30,Loteria Nacional
22,22,4,2023-06-30,Florida Dia
99,99,3,2024-06-30,Gana Mas
