fecha,idi_certificado,regimen,n_sorteos,nota_metodologica
2026-06-01,43.19,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-02,53.67,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-03,55.43,EXPANSION,14,v2.0 - Universo N=14
2026-06-04,45.41,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-05,51.52,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-06,54.36,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-07,53.81,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-08,46.12,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-09,45.98,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-10,52.64,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-11,50.14,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-12,46.81,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-13,45.91,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-14,53.45,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-15,50.12,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-16,54.30,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-17,56.36,EXPANSION,14,v2.0 - Universo N=14
2026-06-18,50.81,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-19,59.31,EXPANSION,14,v2.0 - Universo N=14
2026-06-20,52.44,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-21,43.62,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-22,44.17,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-23,38.31,CONTRACCION,14,v2.0 - Universo N=14
2026-06-24,47.45,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-25,47.41,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-26,51.49,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-27,53.74,EQUILIBRIO,14,v2.0 - Universo N=14
2026-06-28,55.08,EXPANSION,14,v2.0 - Universo N=14
2026-06-29,31.00,CONTRACCION,15,v2.1 - Incluye King Lottery AM
