numero,retraso,ultima_aparicion
00,28,2023-06-30
01,27,2025-06-30
02,25,2025-06-30
03,24,2025-06-30
04,24,2025-06-30
05,23,2025-06-30
06,22,2022-06-30
07,22,2024-06-30
08,21,2025-06-30
09,21,2024-06-30
10,20,2025-06-30
11,20,2025-06-30
12,19,2025-06-30
13,19,2024-06-30
14,18,2025-06-30
15,18,2025-06-30
16,17,2024-06-30
17,17,2025-06-30
18,16,2023-06-30
19,16,2024-06-30
20,15,2025-06-30
21,15,2025-06-30
22,14,2023-06-30
23,14,2025-06-30
24,13,2024-06-30
25,13,2024-06-30
26,12,2025-06-30
27,12,2024-06-30
28,11,2025-06-30
29,11,2025-06-30
30,10,2025-06-30
31,10,2025-06-30
32,9,2025-06-30
33,9,2025-06-30
34,8,2025-06-30
35,8,2023-06-30
36,7,2025-06-30
37,7,2024-06-30
38,6,2022-06-30
39,6,2025-06-30
40,5,2025-06-30
41,5,2025-06-30
42,4,2021-06-30
43,4,2021-06-30
44,3,2024-06-30
45,3,2025-06-30
46,2,2025-06-30
47,2,2025-06-30
48,1,2025-06-30
49,1,2025-06-30
50,0,2025-06-30
51,0,2025-06-30
52,22,2022-06-30
53,21,2024-06-30
54,20,2024-06-30
55,19,2025-06-30
56,18,2025-06-30
57,17,2022-06-30
58,16,2025-06-30
59,15,2025-06-30
60,14,2025-06-30
61,13,2025-06-30
62,12,2022-06-30
63,11,2023-06-30
64,10,2023-06-30
65,9,2025-06-30
66,8,2024-06-30
67,7,2024-06-30
68,6,2024-06-30
69,5,2025-06-30
70,4,2025-06-30
71,3,2024-06-30
72,2,2025-06-30
73,1,2025-06-30
74,0,2025-06-30
75,24,2025-06-30
76,23,2025-06-30
77,22,2021-06-30
78,21,2025-06-30
79,20,2024-06-30
80,19,2025-06-30
81,18,2025-06-30
82,17,2025-06-30
83,16,2025-06-30
84,15,2025-06-30
85,14,2024-06-30
86,13,2025-06-30
87,12,2025-06-30
88,11,2024-06-30
89,10,2025-06-30
90,9,2025-06-30
91,8,2024-06-30
92,7,2025-06-30
93,6,2025-06-30
94,5,2023-06-30
95,4,2025-06-30
96,3,2025-06-30
97,2,2025-06-30
98,1,2025-06-30
99,0,2024-06-30
