fecha,loteria,turno,primero,segundo,tercero
2026-06-08,LOTEDOM,TARDE,31,18,12
2026-06-08,PRIMERA,TARDE,75,77,73
2026-06-08,SUERTE,TARDE,04,73,55
2026-06-08,KING,TARDE,67,34,40
2026-06-08,PRIMERA,NOCHE,61,09,39
2026-06-08,LOTEKA,NOCHE,83,56,11
2026-06-08,LEIDSA,NOCHE,33,91,77
2026-06-08,NACIONAL,NOCHE,37,39,92
2026-06-08,FLORIDA,NOCHE,59,85,53
2026-06-08,NEWYORK,NOCHE,79,26,07
2026-06-07,NACIONAL,TARDE,96,51,78
2026-06-07,REAL,TARDE,57,99,26
2026-06-07,SUERTE,TARDE,43,73,55
2026-06-07,KING,TARDE,27,34,40
2026-06-07,LOTEDOM,TARDE,34,83,12
2026-06-07,PRIMERA,TARDE,72,06,25
2026-06-07,LOTEKA,NOCHE,37,56,11
2026-06-07,NACIONAL,NOCHE,53,39,92
2026-06-07,LEIDSA,NOCHE,52,91,77
2026-06-07,FLORIDA,NOCHE,25,85,53
2026-06-07,NEWYORK,NOCHE,26,26,07
2026-06-06,NACIONAL,TARDE,13,60,30
2026-06-06,REAL,TARDE,11,71,04
2026-06-06,LOTEKA,NOCHE,99,21,94
2026-06-06,NACIONAL,NOCHE,07,84,80
